Tweet_Length,Tweet_Date,UserName,Full_Tweets,Tweet_Links,at_word,Mention_Count
140,2023-02-01 01:04:38+00:00,Purina, hi  nestle purina petcare company does not make the chicken feed that has been mentioned in recent,https://t.co/wmvYxwAOl8,HunterNJoeBidet,1
140,2023-02-01 00:59:20+00:00,Purina, hi  we  nestle purina petcare company  do not make the chicken feed that has been mentioned in recen,https://t.co/rzMMxx0hPl,JustineL8yzen,1
140,2023-02-01 00:54:28+00:00,Purina, hi  we  nestle purina petcare company  do not make the chicken feed that has been mentioned in recent ne,https://t.co/5lITXgtvgP,willmyer3,1
140,2023-02-01 00:52:27+00:00,Purina, hi  we  nestle purina petcare company  do not make the chicken feed that has been mentioned in rece,https://t.co/ouf6F22PhQ,icantbethisold,1
140,2023-02-01 00:45:27+00:00,Purina, hi  we  nestle purina petcare company  do not make the chicken feed that has been mentioned in recen,https://t.co/lXflefW8fR,samturner7764,1
140,2023-02-01 00:42:35+00:00,Purina, hi  we  nestle purina petcare company  do not make the chicken feed that has been mentioned in rece,https://t.co/E2jPMGpPKq,OldOldgraymule,1
140,2023-02-01 00:40:26+00:00,Purina, hi  we  nestle purina petcare company  do not make the chicken feed that has been mentioned in recen,https://t.co/0srO5SOsN2,DedubyaWilson,1
139,2023-02-01 00:32:51+00:00,Purina, hi  we  nestle purina petcare company  do not make the chicken feed that has been mentioned in recent news,https://t.co/MFbuRs2HwH,gzig21,1
140,2023-02-01 00:24:48+00:00,Purina, hi  we  nestle purina petcare company  do not make the chicken feed that has been mentioned in recent n,https://t.co/XMk2BmK1NJ,CGoosecock,1
140,2023-02-01 00:18:04+00:00,Purina, hi  we  nestle purina petcare company  do not make the chicken feed that has been mentioned in recent n,https://t.co/5omZDFYi5M,jozy_walez,1
140,2023-02-01 00:10:16+00:00,Purina, hi  the purina you have tagged is nestle purina petcare company  we do not make the chicken feed that ha,https://t.co/oZM2z4Co0v,Torquemob,1
140,2023-02-01 00:06:41+00:00,Purina, hi  the purina you have tagged is nestle purina petcare company  our business is to make pet care p,https://t.co/UPcqeaRdOL,PaulyDeathwish,1
